Date,Last Price
29/12/2017,1.3513
28/12/2017,1.3448
27/12/2017,1.3398
26/12/2017,1.3381
25/12/2017,1.337
22/12/2017,1.3363
21/12/2017,1.54
20/12/2017,1.3396
19/12/2017,1.337
18/12/2017,1.3393
15/12/2017,1.332
14/12/2017,1.3431
13/12/2017,1.3352
12/12/2017,1.3315
11/12/2017,1.3351
08/12/2017,1.339
07/12/2017,1.3426
06/12/2017,1.3377
05/12/2017,1.3436
04/12/2017,1.3458
01/12/2017,1.3477
30/11/2017,1.3509
29/11/2017,1.3429
28/11/2017,1.333
27/11/2017,1.3329
24/11/2017,1.3337
23/11/2017,1.3305
22/11/2017,1.3289
21/11/2017,1.3239
20/11/2017,1.3234
17/11/2017,1.3215
16/11/2017,1.352
15/11/2017,1.3177
14/11/2017,1.3179
13/11/2017,1.3113
10/11/2017,1.3196
09/11/2017,1.3145
08/11/2017,1.311
07/11/2017,1.3155
06/11/2017,1.3152
03/11/2017,1.3077
02/11/2017,1.3055
01/11/2017,1.3261
31/10/2017,1.3273
30/10/2017,1.3193
27/10/2017,1.3128
26/10/2017,1.3176
25/10/2017,1.3247
24/10/2017,1.3132
23/10/2017,1.32
20/10/2017,1.319
19/10/2017,1.3162
18/10/2017,1.3191
17/10/2017,1.3179
16/10/2017,1.3285
13/10/2017,1.3285
12/10/2017,1.3247
11/10/2017,1.3211
10/10/2017,1.321
09/10/2017,1.3146
06/10/2017,1.3066
05/10/2017,1.3133
04/10/2017,1.3273
03/10/2017,1.3248
02/10/2017,1.3273
29/09/2017,1.3398
28/09/2017,1.3439
27/09/2017,1.3403
26/09/2017,1.3432
25/09/2017,1.3454
22/09/2017,1.3504
21/09/2017,1.3574
20/09/2017,1.3582
19/09/2017,1.3489
18/09/2017,1.3484
15/09/2017,1.3594
14/09/2017,1.3387
13/09/2017,1.3202
12/09/2017,1.3274
11/09/2017,1.3179
08/09/2017,1.32
07/09/2017,1.3071
06/09/2017,1.3048
05/09/2017,1.3018
04/09/2017,1.2919
01/09/2017,1.2951
31/08/2017,1.2894
30/08/2017,1.2933
29/08/2017,1.2927
28/08/2017,1.2933
25/08/2017,1.2882
24/08/2017,1.2795
23/08/2017,1.279
22/08/2017,1.2841
21/08/2017,1.2908
18/08/2017,1.287
17/08/2017,1.2877
16/08/2017,1.2847
15/08/2017,1.2866
14/08/2017,1.2982
11/08/2017,1.3014
10/08/2017,1.2978
09/08/2017,1.2992
08/08/2017,1.2981
07/08/2017,1.3024
04/08/2017,0
03/08/2017,1.3135
02/08/2017,1.3238
01/08/2017,1.321
31/07/2017,1.319
28/07/2017,1.3136
27/07/2017,1.3068
26/07/2017,1.3047
25/07/2017,1.3038
24/07/2017,1.3026
21/07/2017,1.2997
20/07/2017,1.2977
19/07/2017,1.3035
18/07/2017,1.3046
17/07/2017,1.306
14/07/2017,1.3098
13/07/2017,1.2923
12/07/2017,1.2899
11/07/2017,1.2848
10/07/2017,1.2878
07/07/2017,1.289
06/07/2017,1.2969
05/07/2017,1.2922
04/07/2017,1.2927
03/07/2017,1.2957
30/06/2017,1.3025
29/06/2017,1.2989
28/06/2017,1.2931
27/06/2017,1.2782
26/06/2017,1.2723
23/06/2017,1.2718
22/06/2017,1.2667
21/06/2017,1.2659
20/06/2017,1.2625
19/06/2017,1.2744
16/06/2017,1.2783
15/06/2017,1.2758
14/06/2017,1.2795
13/06/2017,1.2744
12/06/2017,1.2651
09/06/2017,1.2746
08/06/2017,1.2938
07/06/2017,1.2927
06/06/2017,1.2884
05/06/2017,1.2924
02/06/2017,1.2888
01/06/2017,1.2885
31/05/2017,1.289
30/05/2017,1.2844
29/05/2017,1.2836
26/05/2017,1.2804
25/05/2017,1.2959
24/05/2017,1.2932
23/05/2017,1.298
22/05/2017,1.3013
19/05/2017,1.3036
18/05/2017,1.2994
17/05/2017,1.294
16/05/2017,1.2916
15/05/2017,1.2908
12/05/2017,1.289
