Date,Last Price
29/12/2017,97.67
28/12/2017,97.65
27/12/2017,97.665
26/12/2017,97.635
25/12/2017,
22/12/2017,97.625
21/12/2017,97.645
20/12/2017,97.655
19/12/2017,97.68
18/12/2017,97.72
15/12/2017,97.73
14/12/2017,97.745
13/12/2017,97.765
12/12/2017,97.71
11/12/2017,97.72
08/12/2017,97.745
07/12/2017,97.735
06/12/2017,98.23
05/12/2017,97.715
04/12/2017,97.715
01/12/2017,97.75
30/11/2017,97.735
29/11/2017,97.24
28/11/2017,97.805
27/11/2017,97.82
24/11/2017,97.81
23/11/2017,
22/11/2017,97.835
21/11/2017,97.765
20/11/2017,97.79
17/11/2017,97.825
16/11/2017,97.42
15/11/2017,97.855
14/11/2017,97.82
13/11/2017,97.805
10/11/2017,97.84
09/11/2017,97.885
08/11/2017,97.88
07/11/2017,97.885
06/11/2017,97.885
03/11/2017,97.865
02/11/2017,97.875
01/11/2017,97.85
31/10/2017,97.865
30/10/2017,97.87
27/10/2017,97.82
26/10/2017,97.785
25/10/2017,97.805
24/10/2017,97.835
23/10/2017,97.85
20/10/2017,97.83
19/10/2017,97.87
18/10/2017,97.85
17/10/2017,97.875
16/10/2017,97.89
13/10/2017,97.96
12/10/2017,97.92
11/10/2017,97.91
10/10/2017,97.92
09/10/2017,97.89
06/10/2017,97.895
05/10/2017,97.925
04/10/2017,97.945
03/10/2017,97.95
02/10/2017,97.935
29/09/2017,97.945
28/09/2017,97.985
27/09/2017,97.96
26/09/2017,98.015
25/09/2017,98.03
22/09/2017,97.985
21/09/2017,97.975
20/09/2017,97.99
19/09/2017,98.045
18/09/2017,98.05
15/09/2017,98.07
14/09/2017,98.095
13/09/2017,98.125
12/09/2017,98.155
11/09/2017,98.2
08/09/2017,98.26
07/09/2017,98.26
06/09/2017,98.225
05/09/2017,98.27
01/09/2017,98.185
31/08/2017,98.215
30/08/2017,98.195
29/08/2017,98.215
28/08/2017,98.185
25/08/2017,98.155
24/08/2017,98.14
23/08/2017,98.165
22/08/2017,98.12
21/08/2017,98.15
18/08/2017,98.135
17/08/2017,98.125
16/08/2017,98.105
15/08/2017,98.07
14/08/2017,98.115
11/08/2017,98.14
10/08/2017,98.09
09/08/2017,98.07
08/08/2017,98.04
07/08/2017,98.06
04/08/2017,98.05
03/08/2017,98.085
02/08/2017,98.06
01/08/2017,98.08
31/07/2017,98.045
28/07/2017,98.05
27/07/2017,98.025
26/07/2017,98.035
25/07/2017,97.97
24/07/2017,98.04
21/07/2017,98.05
20/07/2017,98.025
19/07/2017,98.03
18/07/2017,98.04
17/07/2017,98.01
14/07/2017,97.995
13/07/2017,97.96
12/07/2017,97.97
11/07/2017,97.915
10/07/2017,97.89
07/07/2017,97.86
06/07/2017,97.875
05/07/2017,97.89
03/07/2017,97.9
30/06/2017,97.955
29/06/2017,97.995
28/06/2017,98.04
27/06/2017,98.045
26/06/2017,98.09
23/06/2017,98.1
22/06/2017,98.11
21/06/2017,98.08
20/06/2017,98.07
19/06/2017,98.04
16/06/2017,98.075
15/06/2017,98.045
14/06/2017,98.07
13/06/2017,98.005
12/06/2017,98.03
09/06/2017,98.035
08/06/2017,98.035
07/06/2017,98.05
06/06/2017,98.085
05/06/2017,98.06
02/06/2017,98.075
01/06/2017,98.03
31/05/2017,98.035
30/05/2017,98.03
26/05/2017,97.98
25/05/2017,97.98
24/05/2017,97.965
23/05/2017,97.945
22/05/2017,97.975
19/05/2017,97.985
18/05/2017,98.015
17/05/2017,98.045
16/05/2017,97.935
15/05/2017,97.92
12/05/2017,97.91
11/05/2017,97.82
10/05/2017,97.81
09/05/2017,97.785
08/05/2017,97.815
05/05/2017,97.835
04/05/2017,97.825
03/05/2017,97.86
02/05/2017,97.89
01/05/2017,97.855
28/04/2017,97.89
27/04/2017,97.89
26/04/2017,97.855
25/04/2017,97.83
24/04/2017,97.89
21/04/2017,97.93
20/04/2017,97.925
19/04/2017,97.99
18/04/2017,98.01
17/04/2017,97.93
13/04/2017,97.94
12/04/2017,97.87
11/04/2017,97.87
10/04/2017,97.785
07/04/2017,97.765
06/04/2017,97.81
05/04/2017,97.815
04/04/2017,97.775
03/04/2017,97.76
31/03/2017,97.685
30/03/2017,97.66
29/03/2017,97.7
28/03/2017,97.685
27/03/2017,97.73
24/03/2017,97.69
23/03/2017,97.69
22/03/2017,97.72
21/03/2017,97.67
20/03/2017,97.63
17/03/2017,97.59
16/03/2017,97.58
15/03/2017,97.575
14/03/2017,97.45
13/03/2017,97.455
10/03/2017,97.465
09/03/2017,97.455
08/03/2017,97.515
07/03/2017,97.56
06/03/2017,97.575
03/03/2017,97.555
02/03/2017,97.55
01/03/2017,97.605
28/02/2017,97.725
27/02/2017,97.73
24/02/2017,97.81
23/02/2017,97.735
22/02/2017,97.69
21/02/2017,97.665
17/02/2017,97.695
16/02/2017,97.665
15/02/2017,97.605
14/02/2017,97.65
13/02/2017,97.7
10/02/2017,97.73
09/02/2017,97.76
08/02/2017,97.82
07/02/2017,97.765
06/02/2017,97.75
03/02/2017,97.665
02/02/2017,97.685
01/02/2017,97.675
31/01/2017,97.705
30/01/2017,97.665
27/01/2017,97.66
26/01/2017,97.64
25/01/2017,97.62
24/01/2017,97.685
23/01/2017,97.75
20/01/2017,97.67
19/01/2017,97.655
18/01/2017,97.75
17/01/2017,97.815
13/01/2017,97.735
12/01/2017,97.765
11/01/2017,97.755
10/01/2017,97.755
09/01/2017,97.745
06/01/2017,97.695
05/01/2017,97.785
04/01/2017,97.685
03/01/2017,97.67
30/12/2016,97.675
29/12/2016,97.64
28/12/2016,97.59
27/12/2016,97.52
23/12/2016,97.545
22/12/2016,97.545
21/12/2016,97.54
20/12/2016,97.515
19/12/2016,97.535
16/12/2016,97.485
15/12/2016,97.465
14/12/2016,97.62
13/12/2016,97.715
12/12/2016,97.74
09/12/2016,97.745
08/12/2016,97.83
07/12/2016,97.855
06/12/2016,97.795
05/12/2016,97.795
02/12/2016,97.825
01/12/2016,97.76
30/11/2016,97.85
29/11/2016,97.925
28/11/2016,97.88
25/11/2016,97.825
23/11/2016,97.845
22/11/2016,97.89
21/11/2016,97.855
18/11/2016,97.855
17/11/2016,97.94
16/11/2016,97.97
15/11/2016,97.95
14/11/2016,97.965
11/11/2016,98.03
10/11/2016,98.13
09/11/2016,98.215
08/11/2016,98.45
07/11/2016,98.505
04/11/2016,98.56
03/11/2016,98.535
02/11/2016,98.54
01/11/2016,98.515
31/10/2016,98.485
28/10/2016,98.475
27/10/2016,98.46
26/10/2016,98.5
25/10/2016,98.54
24/10/2016,98.55
21/10/2016,98.575
20/10/2016,98.575
19/10/2016,98.585
18/10/2016,98.58
17/10/2016,98.55
14/10/2016,98.535
13/10/2016,98.57
12/10/2016,98.515
11/10/2016,98.52
10/10/2016,98.5
07/10/2016,98.545
06/10/2016,98.53
05/10/2016,98.565
04/10/2016,98.6
03/10/2016,98.645
30/09/2016,98.67
29/09/2016,98.715
28/09/2016,98.7
27/09/2016,98.71
26/09/2016,98.695
23/09/2016,98.665
22/09/2016,98.64
21/09/2016,98.6
20/09/2016,98.6
19/09/2016,98.595
16/09/2016,98.595
15/09/2016,98.615
14/09/2016,98.625
13/09/2016,98.555
12/09/2016,98.615
09/09/2016,98.585
08/09/2016,98.645
07/09/2016,98.715
06/09/2016,98.715
02/09/2016,98.625
01/09/2016,98.62
31/08/2016,98.625
30/08/2016,98.63
29/08/2016,98.64
26/08/2016,98.56
25/08/2016,98.65
24/08/2016,98.685
23/08/2016,98.68
22/08/2016,98.69
19/08/2016,98.645
18/08/2016,98.69
17/08/2016,98.65
16/08/2016,98.665
15/08/2016,98.68
12/08/2016,98.72
11/08/2016,98.655
10/08/2016,98.72
09/08/2016,98.665
08/08/2016,98.625
05/08/2016,98.635
04/08/2016,98.755
03/08/2016,98.71
02/08/2016,98.7
01/08/2016,98.74
29/07/2016,98.77
28/07/2016,98.695
27/07/2016,98.68
26/07/2016,98.625
25/07/2016,98.61
22/07/2016,98.62
21/07/2016,98.645
20/07/2016,98.64
19/07/2016,98.68
18/07/2016,98.675
15/07/2016,98.65
14/07/2016,98.725
13/07/2016,98.775
12/07/2016,98.725
11/07/2016,98.805
08/07/2016,98.89
07/07/2016,98.85
06/07/2016,98.83
05/07/2016,98.85
01/07/2016,98.765
30/06/2016,98.765
29/06/2016,98.775
28/06/2016,98.8
27/06/2016,98.795
24/06/2016,98.665
23/06/2016,98.49
22/06/2016,98.55
21/06/2016,98.54
20/06/2016,98.585
17/06/2016,98.63
16/06/2016,98.695
15/06/2016,98.67
14/06/2016,98.645
13/06/2016,98.64
10/06/2016,98.59
09/06/2016,98.545
08/06/2016,98.51
07/06/2016,98.505
06/06/2016,98.485
03/06/2016,98.51
02/06/2016,98.355
01/06/2016,98.32
31/05/2016,98.355
27/05/2016,98.355
26/05/2016,98.365
25/05/2016,98.31
24/05/2016,98.325
23/05/2016,98.355
20/05/2016,98.345
19/05/2016,98.34
18/05/2016,98.305
17/05/2016,98.445
16/05/2016,98.465
13/05/2016,98.52
12/05/2016,98.475
11/05/2016,0
10/05/2016,98.51
09/05/2016,98.515
06/05/2016,98.47
05/05/2016,98.49
04/05/2016,98.44
03/05/2016,98.405
02/05/2016,98.325
29/04/2016,98.375
28/04/2016,98.36
27/04/2016,98.33
26/04/2016,98.255
25/04/2016,98.285
22/04/2016,98.305
21/04/2016,98.315
